timestamp,inference_ms,action,q_values,switched
2026-03-04T12:33:12.026715,99.910,2,"[[4.727078437805176, 5.509363174438477, 4.941318988800049]]",1
2026-03-04T12:33:17.031916,3.267,0,"[[4.82216215133667, 4.762483596801758, 4.653024196624756]]",1
2026-03-04T12:33:22.035997,2.532,1,"[[4.852339744567871, 4.790332317352295, 4.7617058753967285]]",1
2026-03-04T12:33:27.041861,4.564,0,"[[4.935629844665527, 4.885519027709961, 4.910096168518066]]",1
2026-03-04T12:33:32.047108,3.607,1,"[[4.58388090133667, 4.530326843261719, 4.585467338562012]]",1
2026-03-04T12:33:37.053749,4.901,2,"[[4.604714870452881, 4.5573320388793945, 4.6224565505981445]]",1
2026-03-04T12:33:42.058782,3.539,2,"[[4.60471248626709, 4.557371139526367, 4.622500419616699]]",0
2026-03-04T12:33:47.063811,4.317,2,"[[4.604712009429932, 4.557327747344971, 4.622451305389404]]",0
2026-03-04T12:33:52.067805,2.692,1,"[[4.604709625244141, 4.5573835372924805, 4.6225128173828125]]",1
2026-03-04T12:33:57.071444,1.750,1,"[[4.604710102081299, 4.557323455810547, 4.622446060180664]]",0
2026-03-04T12:34:02.075265,2.642,1,"[[4.604706764221191, 4.557363510131836, 4.622490882873535]]",0
2026-03-04T12:34:07.078948,2.698,1,"[[4.604708671569824, 4.557322978973389, 4.622445106506348]]",0
2026-03-04T12:34:12.084223,4.080,0,"[[4.6046552658081055, 4.558635234832764, 4.623896598815918]]",1
2026-03-04T12:34:17.137808,52.490,1,"[[4.604545593261719, 4.556992530822754, 4.622013092041016]]",1
2026-03-04T12:34:22.370632,231.339,2,"[[4.604437828063965, 4.55728006362915, 4.622365951538086]]",1
2026-03-04T12:34:27.377316,4.559,0,"[[4.604397773742676, 4.556853771209717, 4.621864318847656]]",1
2026-03-04T12:34:32.382786,4.370,2,"[[4.601154327392578, 4.599727153778076, 4.670672416687012]]",1
2026-03-04T12:34:37.465815,75.700,1,"[[4.598786354064941, 4.545656204223633, 4.607329368591309]]",1
2026-03-04T12:34:42.502855,9.903,1,"[[4.595898628234863, 4.543618202209473, 4.606205940246582]]",0
2026-03-04T12:34:47.577043,66.020,2,"[[3.9840762615203857, 5.092650890350342, 5.622123718261719]]",1
2026-03-04T12:34:52.633992,44.143,2,"[[4.496191024780273, 4.723498344421387, 4.799774169921875]]",0
2026-03-04T12:34:57.704038,56.615,1,"[[4.571802616119385, 4.479443550109863, 4.51378870010376]]",1
2026-03-04T12:35:02.805993,93.976,1,"[[4.599599838256836, 4.616786956787109, 4.656167030334473]]",0
2026-03-04T12:35:07.923893,110.184,1,"[[4.6726226806640625, 4.612430572509766, 4.635825157165527]]",0
2026-03-04T12:35:13.106115,175.356,2,"[[4.558051109313965, 4.554717063903809, 4.6063103675842285]]",1
2026-03-04T12:35:18.163248,54.179,1,"[[4.577895164489746, 4.515110015869141, 4.569482803344727]]",1
2026-03-04T12:35:23.167035,2.306,1,"[[4.579615592956543, 4.522332191467285, 4.576943397521973]]",0
2026-03-04T12:35:28.172553,1.232,1,"[[4.588472366333008, 4.587512969970703, 4.655287265777588]]",0
2026-03-04T12:35:33.182226,4.396,1,"[[4.589802265167236, 4.534093856811523, 4.590887069702148]]",0
2026-03-04T12:35:38.186804,3.360,1,"[[4.581437587738037, 4.615473747253418, 4.6920061111450195]]",0
2026-03-04T12:35:43.190008,1.488,1,"[[4.584415435791016, 4.523281097412109, 4.579190731048584]]",0
2026-03-04T12:35:48.195288,3.654,1,"[[4.582183837890625, 4.533693790435791, 4.591523170471191]]",0
2026-03-04T12:35:53.200719,3.095,0,"[[4.587497711181641, 4.5320587158203125, 4.591395378112793]]",1
2026-03-04T12:35:58.205423,1.830,1,"[[4.591343879699707, 4.540341854095459, 4.59914493560791]]",1
