timestamp,inference_ms,action,model_type,probs,safety_override,switched
2026-03-25T07:32:25.227726,131.492,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:32:30.234595,1.365,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:32:35.236740,0.984,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:32:40.238758,1.017,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:32:45.242012,1.908,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:32:50.244603,1.239,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:32:55.247203,1.399,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:33:00.248922,1.277,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:33:05.251262,1.335,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:33:10.253439,1.234,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:33:15.255851,1.071,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:33:20.258129,1.036,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:33:25.260276,0.946,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:33:30.262126,1.128,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:33:35.263671,0.984,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:33:40.265807,1.021,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:33:45.268548,1.549,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:33:50.270830,1.790,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:33:55.559836,1.946,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:34:00.565718,1.543,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:34:05.569976,2.477,2,ppo,"['0.3300', '0.3300', '0.3400']",1,0
